CZ,CZ Name,State,Census 2000 population,Urban Areas,Frac. Black,Racial Segregation,Income Segregation,Segregation of Poverty (<p25),Segregation of Affluence (>p75),Frac. with Commute < 15 Mins,Household Income per capita,Gini,Top 1% Income Share,Gini Bottom 99%,Frac. Between p25 and p75,Local Tax Rate,Local Government Expenditures Per Capita,State Income Tax Progressivity,State EITC Exposure,School Expenditure per Student,Teacher Student Ratio,Test Score Percentile (Income Adjusted,High School Dropout Rate (Income Adjusted),Number of Colleges per Capita,College Tuition,College Graduation Rate (Income Adjusted),Labor Force Participation Rate,Manufacturing Employment Share,Growth in Chinese Imports 1990-2000,Teenage Labor Force Participation Rate,Migration Inflow Rate,Migration Outlflow Rate,Frac. Foreign Born,Social Capital Index,Fraction Religious,Violent Crime Rate,Fraction of Children with Single Mothers,Fraction of Adults Divorced,Fraction of Adults Married,Income Growth 2000-2006/10
34503,Kalispell,MT,"111,205",0,0.001,0.173,0.024,0.021,0.028,0.45,32003,0.44,11.362,0.326,0.559,0.021,1710,0,0,4.985,17.9,5.978,0.008,0.018,2096,-0.121,0.623,0.115,0.65,0.006,0.021,0.017,0.02,0.527,0.395,0.001,0.191,0.118,0.592,0.007
34504,Missoula,MT,"135,756",1,0.002,0.033,0.06,0.064,0.058,0.467,31286,0.418,8.702,0.331,0.564,0.025,1657,0,0,5.145,17.4,8.573,0.004,0.007,2250,0.048,0.671,0.076,0.512,0.005,0.025,0.024,0.021,1.17,0.314,0.002,0.196,0.108,0.543,0.004
34601,Gillette,WY,"46,229",0,0.001,0.021,0.045,0.051,0.04,0.536,34452,0.295,8.507,0.21,0.572,0.062,4315,0,0,7.142,14.5,5.883,0.009,,,,0.724,0.033,0.023,0.007,0.018,0.017,0.014,-0.926,0.482,0.002,0.152,0.098,0.626,0.02
34602,Rawlins,WY,"15,639",0,0.007,0.066,0.003,0.002,0.003,0.722,31828,0.269,4.303,0.226,0.645,0.046,3351,0,0,7.182,13.7,-5.208,0.016,,,,0.626,0.066,0.023,0.007,0.018,0.025,0.029,-0.646,0.429,0.003,0.192,0.123,0.613,0.019
34603,Casper,WY,"78,585",1,0.006,0.025,0.057,0.053,0.056,0.528,34840,0.43,15.007,0.28,0.58,0.021,3000,0,0,6.458,17,-0.214,0.059,0.013,1248,-0.147,0.683,0.055,0.448,0.006,0.022,0.019,0.018,0.542,0.435,0.001,0.221,0.132,0.571,0.013
34604,Lusk,WY,"2,407",0,0.001,0,0,0,0,0.72,30783,0.418,,,,0.036,5706,0,0,7.655,12.5,,,,,,0.617,0.022,0.034,,,,0.007,0.808,0.492,0.002,0.156,0.106,0.605,0.008
34701,Honolulu,HI,"876,156",1,0.022,0.14,0.107,0.101,0.105,0.235,39404,0.396,9.084,0.305,0.517,0.015,1316,1.05,0,6.563,18.4,-14.799,0.018,0.015,5088,-0.105,0.647,0.038,,0.003,0.03,0.034,0.192,,0.333,0.001,0.167,0.084,0.534,0.001
34702,Kapaa,HI,"58,463",0,0.003,0.064,0.013,0.011,0.014,0.37,38210,0.351,5.7,0.294,0.595,0.021,1405,1.05,0,6.563,18,,,0.017,1032,-0.244,0.631,0.024,,0.004,0.017,0.006,0.13,,0.523,0.002,0.207,0.098,0.546,-0.008
34703,Kahului,HI,"128,241",1,0.004,0.119,0.03,0.024,0.031,0.384,39556,0.391,9.414,0.297,0.589,0.021,1559,1.05,0,6.563,18.3,,,0.008,1032,-0.251,0.667,0.034,,0.004,0.024,0.024,0.165,,0.445,0.001,0.199,0.109,0.52,-0.003
34801,Las Vegas,NM,"49,495",0,0.005,0.092,0.012,0.011,0.01,0.537,26569,0.381,7.039,0.311,0.464,0.017,2459,0,0,5.37,17.1,-13.802,-0.029,0.04,1750,-0.134,0.549,0.033,0.024,0.006,0.01,0.017,0.023,-1.273,0.738,0.002,0.266,0.124,0.492,0.005
34802,Santa Fe,NM,"218,804",1,0.004,0.201,0.089,0.066,0.116,0.371,38838,0.49,11.007,0.38,0.474,0.013,2090,0,0,5.527,17.4,-16.69,0.012,0.032,9992,-0.182,0.653,0.035,0.828,0.006,0.02,0.024,0.078,0.311,0.576,0.002,0.236,0.134,0.519,0.009
34803,Tucumcari,NM,"10,965",0,0.007,0.08,0.013,0.018,0.013,0.689,30332,0.442,9.005,0.352,0.45,0.014,2243,0,0,6.57,15.7,-11.254,0.039,0.091,780,-0.054,0.532,0.016,0.04,0.005,0.007,0.015,0.034,-0.96,0.893,0.002,0.255,0.109,0.562,-0.012
34804,Clayton,NM,"4,174",0,0,0,0,0,0,0.625,30305,0.389,,,,0.013,2538,0,0,6.4,13.5,,,,,,0.612,0.023,0.039,,0,0.005,0.022,-0.018,0.471,0.003,0.169,0.099,0.603,-0.013
34805,Alamosa,CO,"46,190",0,0.003,0.112,0.028,0.024,0.031,0.552,27094,0.444,9.743,0.346,0.486,0.031,2794,0,1.429,5.952,15.9,-4.938,,0.022,1574,-0.041,0.604,0.043,0.139,0.005,0.005,0.011,0.061,0.517,0.625,0.002,0.213,0.104,0.57,-0.003
34901,Albuquerque,NM,"755,244",1,0.022,0.177,0.096,0.082,0.111,0.273,35591,0.465,9.867,0.366,0.5,0.014,2022,0,0,5.091,17.4,-13.662,0.033,0.016,2527,-0.1,0.641,0.084,0.799,0.005,0.03,0.022,0.076,-0.76,0.547,0.003,0.239,0.125,0.515,-0.004
34902,Socorro,NM,"21,621",0,0.005,0.204,0.018,0.017,0.015,0.565,24360,0.423,7.177,0.352,0.451,0.01,1630,0,0,5.411,16.3,-15.373,-0.025,0.046,1704,0.159,0.563,0.056,1.193,0.005,0.014,0.021,0.056,-0.694,0.418,0.004,0.248,0.123,0.513,0.003
35001,Phoenix,AZ,"3,303,211",1,0.034,0.208,0.12,0.098,0.139,0.242,40624,0.49,16.807,0.322,0.502,0.024,3109,1.66,0,5.546,20.3,-10.107,,0.013,3653,-0.129,0.636,0.115,0.832,0.005,0.045,0.025,0.139,-1.483,0.394,0.002,0.203,0.11,0.55,-0.007
35002,Safford,AZ,"42,036",0,0.015,0.287,0.036,0.038,0.024,0.53,23579,0.287,6.422,0.222,0.675,0.022,2696,1.66,0,4.606,21.8,-7.113,,0.024,748,-0.15,0.528,0.028,0.013,0.004,0.02,0.018,0.029,-1.325,0.721,0.002,0.191,0.1,0.587,-0.001
35100,Tucson,AZ,"999,882",1,0.029,0.22,0.112,0.097,0.127,0.291,35571,0.477,12.39,0.353,0.518,0.024,2423,1.66,0,5.806,19.5,-10.137,,0.007,777,0.03,0.592,0.089,0.651,0.005,0.033,0.025,0.128,-0.867,0.452,0.002,0.239,0.117,0.534,-0.003
35201,Grand Junction,CO,"187,857",1,0.004,0.04,0.05,0.04,0.06,0.465,35421,0.423,10.695,0.316,0.582,0.027,2421,0,1.429,5.357,18.4,1.926,,0.011,1623,-0.07,0.632,0.072,0.467,0.006,0.024,0.016,0.038,0.151,0.301,0.002,0.19,0.115,0.595,0.008
35202,Gunnison,CO,"14,746",0,0.004,0.017,0.045,0.053,0.034,0.644,32805,0.486,12.096,0.365,0.527,0.054,3423,0,1.429,7.487,14.4,5.732,,0.068,1560,-0.061,0.73,0.02,0.019,0.007,0.013,0.019,0.029,1.798,0.381,0.001,0.166,0.08,0.462,0.008
35300,Farmington,NM,"168,198",1,0.003,0.298,0.047,0.043,0.047,0.388,30450,0.44,10.796,0.332,0.538,0.028,2775,0,0,5.098,17.3,-8.531,0.005,0.012,1248,-0.135,0.631,0.039,0.128,0.005,0.046,0.043,0.025,-0.994,0.401,0.002,0.21,0.108,0.546,0.006
35401,Flagstaff,AZ,"289,883",1,0.006,0.287,0.037,0.033,0.038,0.461,35102,0.447,12.415,0.323,0.548,0.027,2138,1.66,0,5.514,18.9,-4.78,,0.014,2482,0.064,0.589,0.062,0.24,0.006,0.052,0.035,0.052,-0.85,0.31,0.002,0.211,0.116,0.559,0.001
35402,Cortez,CO,"40,087",0,0.001,0.383,0.029,0.049,0.018,0.502,28799,0.353,6.825,0.285,0.611,0.038,2973,0,1.429,6.648,16.7,-7.301,-0.013,,,,0.602,0.041,1.862,0.005,0.024,0.026,0.017,-0.997,0.352,0.001,0.194,0.106,0.577,0.014
35500,Gallup,AZ,"241,691",0,0.005,0.476,0.063,0.069,0.056,0.468,20837,0.421,7.94,0.341,0.471,0.025,2278,1.66,0,6.187,17.6,-19.598,0.025,0.017,1923,-0.131,0.503,0.05,0.146,0.004,0.037,0.041,0.015,-2.204,0.425,0.002,0.268,0.079,0.496,-0.003
35600,Hilo,HI,"148,677",0,0.004,0.043,0.042,0.045,0.037,0.346,35010,0.439,10.432,0.334,0.534,0.02,1422,1.05,0,6.563,18.2,,,0.013,1697,-0.091,0.617,0.026,,0.004,0.029,0.016,0.102,,0.398,0.001,0.24,0.107,0.52,0.002
35701,Twin Falls,ID,"120,807",0,0.001,0.033,0.035,0.019,0.049,0.505,35364,0.417,11.017,0.306,0.609,0.018,2187,0.4,0,5.491,18.6,1.241,0.011,0.017,2918,-0.211,0.666,0.098,0.188,0.006,0.018,0.018,0.084,0.172,0.45,0.001,0.156,0.108,0.598,-0.017
35702,Burley,ID,"41,590",0,0.001,0.041,0.021,0.023,0.019,0.536,28357,0.353,9.512,0.258,0.645,0.013,2119,0.4,0,4.1,19.6,-4.158,0.003,,,,0.634,0.156,0.434,0.006,0.008,0.019,0.092,-0.745,0.737,0.001,0.133,0.083,0.647,-0.006
35801,Boise City,ID,"493,970",1,0.006,0.085,0.072,0.061,0.083,0.342,35642,0.412,12.044,0.291,0.565,0.016,1584,0.4,0,5.057,19.5,-0.77,0.035,0.014,3783,-0.069,0.692,0.155,2.28,0.005,0.038,0.02,0.058,0.415,0.421,0.001,0.167,0.115,0.597,-0.004
35802,Ontario,OR,"62,170",0,0.006,0.093,0.016,0.008,0.021,0.49,27631,0.382,7.832,0.304,0.565,0.021,2174,0,1.19,5.991,18,-0.764,-0.004,0.016,1800,-0.219,0.571,0.146,0.353,0.005,0.013,0.016,0.072,-0.583,0.452,0.001,0.179,0.094,0.638,-0.004
35803,McCall,ID,"11,127",0,0,0.006,0.017,0.014,0.019,0.561,33157,0.49,16.583,0.324,0.585,0.027,2807,0.4,0,7.824,16.5,10.852,0,0.09,4200,,0.599,0.069,0.086,0.007,0.042,0.033,0.015,1.175,0.285,0.002,0.144,0.116,0.661,0.02
35901,St. George,UT,"130,138",1,0.002,0.028,0.031,0.026,0.033,0.575,31383,0.405,13.401,0.271,0.607,0.023,2203,0,0,4.922,22,0.549,-0.011,0.015,1340,-0.041,0.602,0.079,0.887,0.006,0.077,0.035,0.038,-1.208,0.755,0.001,0.136,0.072,0.634,0.003
35902,Price,UT,"54,045",0,0.002,0.039,0.016,0.015,0.015,0.577,26759,0.288,5.884,0.229,0.619,0.033,2778,0,0,4.631,21,4.096,-0.015,0.037,1099,0.031,0.596,0.077,0.139,0.005,0.019,0.03,0.033,-0.176,0.772,0.001,0.13,0.079,0.598,-0.002
35903,Moab,UT,"8,485",0,0.002,0.019,0.001,0.001,0.002,0.752,31770,0.328,4.036,0.288,0.582,0.029,2659,0,0,6.369,18.2,1.621,-0.034,,,,0.69,0.027,0.103,0.007,0.013,0.015,0.028,1.517,0.487,0.001,0.246,0.156,0.506,-0.018
35904,Richfield,UT,"25,012",0,0.002,0.015,0.007,0.005,0.008,0.633,28605,0.33,7.302,0.257,0.641,0.021,2087,0,0,4.918,21.1,10.733,-0.011,,,,0.607,0.058,0.16,0.006,0.026,0.033,0.012,-0.791,0.832,0.002,0.12,0.07,0.656,0.013
35905,Loa,UT,"2,509",0,0.002,0,0,0,0,0.628,32242,0.397,,,,0.019,2063,0,0,8.2,15.1,,,,,,0.638,0.039,0.003,,0,0.02,0.017,1.34,0.813,0.001,0.115,0.06,0.685,-0.006
36000,Provo,UT,"389,179",1,0.003,0.059,0.095,0.095,0.092,0.454,29115,0.393,19.986,0.193,0.577,0.021,1755,0,0,4.742,22.2,-1.256,-0.018,0.01,2813,0.054,0.677,0.113,0.889,0.005,0.042,0.045,0.062,-0.846,0.895,0.001,0.095,0.05,0.589,-0.001
36100,Salt Lake City,UT,"1,426,729",1,0.01,0.114,0.101,0.093,0.107,0.294,36988,0.358,12.569,0.232,0.552,0.021,2439,0,0,4.322,22.3,-8.394,0.009,0.009,3838,-0.079,0.71,0.12,0.813,0.005,0.024,0.024,0.084,-0.635,0.699,0.001,0.147,0.092,0.58,-0.006
36200,Logan,UT,"149,590",1,0.003,0.053,0.07,0.068,0.07,0.528,28953,0.291,8.962,0.201,0.666,0.015,1732,0,0,4.231,21,6.228,-0.003,0.007,1947,0.11,0.691,0.25,2.105,0.005,0.029,0.034,0.052,-0.004,0.854,0,0.102,0.056,0.604,-0.001
36301,Pocatello,ID,"269,722",1,0.003,0.128,0.063,0.054,0.07,0.517,30119,0.327,7.878,0.248,0.625,0.016,1984,0.4,0,4.484,19.7,3.003,-0.003,0.011,1178,0.095,0.66,0.108,0.436,0.006,0.017,0.017,0.043,-0.144,0.718,0.001,0.147,0.087,0.596,-0.003
36302,Salmon,ID,"12,148",0,0.001,0.013,0.005,0.001,0.006,0.582,30782,0.323,6.123,0.262,0.615,0.013,1797,0.4,0,4.926,17.7,8.031,0.014,,,,0.586,0.048,0.222,0.006,0.002,0.006,0.018,0.783,0.385,0.001,0.142,0.117,0.625,0.009
36303,Jackson,WY,"24,250",0,0.001,0.027,0.02,0.003,0.035,0.488,53838,0.711,64.788,0.063,0.509,0.038,4620,0,0,5.876,17.6,-31.837,,,,,0.78,0.021,0.1,0.007,0.015,0.025,0.068,2.389,0.308,0.002,0.133,0.105,0.521,-0.027
36401,Steamboat Springs,CO,"38,860",0,0.001,0.032,0.04,0.025,0.056,0.549,39506,0.348,9.631,0.251,0.563,0.067,4647,0,1.429,5.607,17.6,8.282,,0.026,1732,-0.132,0.748,0.022,0.067,0.007,0.017,0.021,0.039,-0.036,0.346,0.002,0.156,0.107,0.568,0
36402,Vernal,UT,"39,595",0,0.001,0.151,0.02,0.021,0.02,0.557,26254,0.333,5.914,0.273,0.624,0.038,2958,0,0,4.564,20.6,-3.364,0.004,,,0.11,0.622,0.04,0.021,0.005,0.021,0.019,0.013,-1.541,0.727,0.001,0.148,0.087,0.623,0.04
36403,Soda Springs,ID,"13,715",0,0.001,0.018,0.011,0.003,0.01,0.575,29943,0.251,4.487,0.207,0.691,0.021,2757,0.4,0,4.584,18.2,5.784,-0.02,,,,0.585,0.165,0.525,0.007,0.007,0.015,0.015,0.345,0.818,0.001,0.103,0.07,0.667,0.017
36404,Rock Springs,WY,"80,730",0,0.004,0.042,0.024,0.02,0.023,0.545,33999,0.264,6.384,0.2,0.611,0.053,4123,0,0,7.307,16.1,1.942,0.021,0.012,1128,0.125,0.69,0.072,0.273,0.006,0.018,0.018,0.023,-0.666,0.602,0.001,0.15,0.11,0.618,0.016
36501,Klamath Falls,CA,"151,353",0,0.026,0.106,0.032,0.027,0.036,0.528,29858,0.383,6.928,0.314,0.555,0.022,2909,6.3,0,6.149,20.1,-8.53,-0.008,0.026,1252,-0.097,0.537,0.087,0.588,0.004,0.026,0.021,0.045,-0.247,0.274,0.003,0.224,0.125,0.601,0.004
36502,Burns,OR,"7,609",0,0.001,0.01,0.001,0,0.002,0.73,30896,0.283,2.673,0.256,0.593,0.038,3536,0,1.19,7.314,16,3.847,-0.019,,,,0.64,0.149,0.223,0.005,0.003,0.01,0.021,0.719,0.311,0.001,0.139,0.127,0.608,0.008
36503,Lakeview,OR,"7,422",0,0.001,0.01,0.006,0.007,0.01,0.692,31635,0.37,9.273,0.277,0.583,0.025,2561,0,1.19,6.849,17.5,8.2,-0.039,,,,0.58,0.095,0.106,0.005,0.006,0.018,0.034,0.928,0.308,0.002,0.175,0.136,0.623,0.012
36600,Redding,CA,"219,295",1,0.007,0.042,0.034,0.029,0.038,0.424,33442,0.434,9.24,0.341,0.541,0.019,3203,6.3,0,5.688,22.4,-9.694,,0.014,2351,-0.062,0.567,0.079,0.303,0.004,0.032,0.022,0.049,-0.633,0.251,0.004,0.238,0.133,0.561,-0.001
36700,Eureka,CA,"139,540",0,0.008,0.07,0.033,0.038,0.028,0.497,30456,0.431,8.783,0.343,0.545,0.018,2849,6.3,0,6.499,20.5,-7.355,,0.014,93,-0.052,0.594,0.085,0.162,0.004,0.022,0.022,0.043,0.756,0.356,0.004,0.271,0.13,0.475,0.004
36800,Medford,OR,"256,995",1,0.003,0.038,0.046,0.042,0.053,0.429,36289,0.448,10.847,0.34,0.557,0.024,1783,0,1.19,5.787,21,3.153,0.023,0.008,2364,-0.153,0.585,0.112,0.799,0.004,0.031,0.022,0.044,0.017,0.216,0.001,0.228,0.127,0.575,-0.004
36901,Crescent City,CA,"48,644",0,0.025,0.117,0.018,0.017,0.014,0.626,29532,0.387,8.285,0.305,0.574,0.017,2555,6.3,0,5.377,20.4,-9.264,0.002,,,,0.478,0.056,0.137,0.005,0.024,0.02,0.048,-0.418,0.286,0.005,0.255,0.127,0.608,0.002
36902,Roseburg,OR,"163,178",0,0.002,0.01,0.021,0.019,0.021,0.462,32479,0.385,8.286,0.302,0.589,0.029,2488,0,1.19,5.806,19.4,-4.257,0.004,0.012,1732,-0.199,0.558,0.137,0.22,0.004,0.032,0.022,0.023,-0.164,0.254,0.001,0.219,0.124,0.594,0
37000,Modesto,CA,"729,182",1,0.027,0.121,0.051,0.043,0.056,0.372,31666,0.464,12.051,0.343,0.523,0.019,3836,6.3,0,5.838,23.5,-18.956,,0.007,333,-0.099,0.596,0.134,0.453,0.004,0.034,0.027,0.187,-1.574,0.446,0.005,0.204,0.101,0.561,-0.006
37100,Bakersfield,CA,"661,645",1,0.057,0.214,0.099,0.076,0.116,0.362,28781,0.48,11.528,0.365,0.484,0.028,3644,6.3,0,5.756,23.6,-21.294,,0.008,2006,-0.067,0.565,0.06,0.245,0.003,0.039,0.023,0.169,-1.903,0.437,0.005,0.229,0.095,0.568,-0.006
37200,Fresno,CA,"1,419,998",1,0.043,0.168,0.085,0.067,0.102,0.351,28267,0.508,11.107,0.397,0.468,0.02,3259,6.3,0,5.555,23.2,-18.836,,0.008,1969,-0.022,0.584,0.088,0.47,0.003,0.019,0.017,0.209,-1.648,0.466,0.006,0.222,0.087,0.549,-0.005
37300,Chico,CA,"387,577",1,0.016,0.1,0.049,0.05,0.053,0.442,31471,0.444,8.792,0.356,0.519,0.019,2904,6.3,0,5.606,22.7,-14.579,,0.008,92,0.076,0.58,0.083,0.409,0.004,0.033,0.022,0.126,-0.921,0.291,0.004,0.223,0.112,0.531,0
37400,Sacramento,CA,"2,570,609",1,0.063,0.161,0.093,0.086,0.099,0.285,39560,0.451,12.004,0.331,0.492,0.02,3559,6.3,0,5.495,23.3,-11.615,-0.02,0.008,2457,0.021,0.625,0.085,0.528,0.004,0.034,0.027,0.147,-0.596,0.354,0.004,0.225,0.111,0.541,-0.002
37500,San Jose,CA,"2,393,183",1,0.026,0.218,0.092,0.07,0.112,0.244,52004,0.535,26.38,0.271,0.42,0.023,3361,6.3,0,5.952,24,-20.475,,0.01,4664,-0.084,0.664,0.224,3.15,0.004,0.025,0.038,0.312,-0.609,0.432,0.003,0.155,0.091,0.541,-0.008
37601,Elko,NV,"61,917",0,0.01,0.121,0.047,0.044,0.044,0.513,32701,0.313,11.854,0.194,0.621,0.024,3116,0,0,6.64,17.9,-9.153,-0.002,0.016,1395,-0.174,0.667,0.016,0.022,0.005,0.027,0.023,0.09,-2.085,0.413,0.002,0.144,0.114,0.607,0.012
37602,Winnemucca,NV,"22,799",0,0.019,0.021,0.011,0.009,0.016,0.496,31976,0.279,6.081,0.218,0.622,0.031,6251,0,0,6.121,17.5,-7.491,-0.011,,,,0.6,0.046,0.01,0.005,0.014,0.015,0.094,-2.048,0.374,0.003,0.137,0.123,0.628,0
37603,Portola,CA,"24,379",0,0.006,0.028,0.011,0.011,0.013,0.552,36905,0.357,10.523,0.252,0.62,0.03,4132,6.3,0,5.694,22,-2.797,,0.041,264,-0.047,0.572,0.104,0.046,0.006,0.029,0.024,0.026,0.394,0.31,0.006,0.224,0.118,0.617,0.019
37604,Reno,NV,"453,825",1,0.018,0.097,0.099,0.081,0.115,0.378,41398,0.46,16.934,0.291,0.542,0.02,2437,0,0,6.015,19.6,-10.295,0,0.013,2377,-0.106,0.67,0.086,0.43,0.005,0.042,0.027,0.125,-1.082,0.289,0.002,0.205,0.146,0.538,-0.008
37700,Santa Rosa,CA,"603,188",1,0.013,0.074,0.065,0.062,0.069,0.349,43636,0.445,14.83,0.297,0.498,0.02,3118,6.3,0,7.597,21.3,-14.668,,0.01,165,-0.032,0.645,0.118,1.01,0.005,0.022,0.026,0.13,-0.103,0.323,0.004,0.207,0.127,0.525,-0.006
37800,San Francisco,CA,"4,642,561",1,0.096,0.207,0.11,0.095,0.122,0.212,54014,0.496,23.587,0.26,0.434,0.023,3650,6.3,0,5.917,22.9,-17.251,,0.012,4312,-0.109,0.656,0.103,0.683,0.004,0.02,0.03,0.262,-0.38,0.381,0.003,0.193,0.097,0.509,-0.006
37901,Las Vegas,NV,"1,568,418",1,0.078,0.138,0.102,0.093,0.106,0.245,38429,0.518,20.8,0.31,0.525,0.021,3148,0,0,5.344,21.1,-16.716,,0.008,4577,-0.176,0.635,0.04,0.255,0.004,0.061,0.036,0.165,-2.317,0.352,0.002,0.221,0.136,0.533,-0.006
37902,Reno,NV,"5,071",0,0.046,0.244,0.015,0.013,0.012,0.687,34004,0.267,,,,0.018,3694,0,0,6.244,16.8,,,,,,0.589,0.062,-0.075,,0.018,0.023,0.024,-0.773,0.345,0.001,0.28,0.19,0.522,0.006
37903,Mammoth Lakes,CA,"30,798",0,0.002,0.06,0.043,0.038,0.045,0.64,38537,0.381,7.066,0.311,0.551,0.048,4288,6.3,0,7.223,21,-14.086,,,,,0.666,0.036,0.037,0.007,0.025,0.022,0.096,0.228,0.426,0.003,0.205,0.117,0.552,-0.007
38000,San Diego,CA,"2,813,833",1,0.055,0.196,0.112,0.089,0.132,0.247,40913,0.516,17.139,0.344,0.48,0.019,3083,6.3,0,5.406,23.5,-10.538,,0.011,2899,0.034,0.65,0.11,1.516,0.003,0.033,0.045,0.215,-0.944,0.437,0.004,0.201,0.102,0.52,-0.002
38100,Yuma,CA,"302,387",1,0.027,0.223,0.062,0.052,0.075,0.45,26908,0.495,9.975,0.396,0.45,0.023,3979,6.3,0,5.565,22.8,-19.096,,0.007,314,-0.148,0.499,0.049,1.172,0.003,0.034,0.026,0.278,-2.661,0.486,0.003,0.216,0.077,0.591,-0.006
38200,Santa Barbara,CA,"646,028",1,0.02,0.154,0.077,0.069,0.082,0.448,40050,0.48,16.672,0.313,0.505,0.022,2829,6.3,0,5.718,22.3,-10.878,,0.011,997,0.165,0.612,0.087,1.478,0.004,0.025,0.031,0.165,0.035,0.511,0.003,0.183,0.098,0.534,0
38300,Los Angeles,CA,"16,393,360",1,0.073,0.271,0.121,0.099,0.139,0.225,38902,0.566,18.528,0.381,0.463,0.023,3609,6.3,0,5.532,24.8,-17.336,,0.008,4956,0.024,0.614,0.148,1.277,0.003,0.013,0.018,0.309,-1.392,0.52,0.004,0.204,0.089,0.516,-0.004
38401,Lewiston,ID,"88,546",1,0.002,0.09,0.033,0.027,0.035,0.555,32663,0.357,6.848,0.288,0.589,0.016,1901,0.4,0,5.639,17.9,4.83,0.017,0.011,0,-0.154,0.595,0.134,0.171,0.005,0.011,0.013,0.016,0.555,0.4,0.001,0.203,0.127,0.576,0.003
38402,Pullman,WA,"75,675",0,0.011,0.063,0.077,0.095,0.061,0.557,24766,0.333,6.766,0.266,0.611,0.018,1550,0,0,7.079,17.2,13.049,,0.026,2073,0.245,0.629,0.04,0.189,0.005,0.03,0.04,0.06,0.463,0.325,0.001,0.159,0.066,0.49,-0.008
38501,Moses Lake,WA,"91,126",0,0.007,0.165,0.021,0.02,0.022,0.512,29315,0.365,6.787,0.297,0.587,0.018,4621,0,0,7.336,20.5,-8.035,,0.011,1641,-0.082,0.624,0.128,0.586,0.005,0.024,0.026,0.182,-0.26,0.442,0.002,0.171,0.086,0.606,-0.007
38502,Wenatchee,WA,"99,219",1,0.002,0.063,0.035,0.024,0.04,0.503,36330,0.402,10.772,0.295,0.576,0.018,4553,0,0,6.269,20.6,-1.827,,0.01,1641,-0.127,0.64,0.071,0.213,0.005,0.023,0.019,0.132,0.221,0.373,0.001,0.172,0.105,0.609,-0.007
38601,Spokane,WA,"608,317",1,0.011,0.047,0.077,0.068,0.089,0.348,34286,0.414,10.294,0.311,0.573,0.018,2258,0,0,5.843,20.9,6.227,0.022,0.012,5682,0.05,0.641,0.106,1.397,0.004,0.029,0.021,0.037,0.371,0.344,0.001,0.212,0.122,0.566,0.002
38602,Colville,WA,"86,890",1,0.002,0.258,0.023,0.019,0.022,0.427,29312,0.405,8.849,0.316,0.563,0.013,2834,0,0,6.828,20.2,-1.219,,,,,0.583,0.089,0.667,0.004,0.03,0.026,0.06,-1.069,0.257,0.001,0.202,0.114,0.592,0.005
38700,Longview,WA,"220,580",1,0.004,0.058,0.039,0.036,0.042,0.448,34298,0.379,8.287,0.296,0.576,0.021,3224,0,0,6.257,20.2,-1.591,-0.006,0.014,1660,-0.11,0.594,0.151,0.39,0.004,0.029,0.025,0.041,-0.039,0.304,0.002,0.227,0.129,0.567,-0.004
38801,Portland,OR,"1,842,889",1,0.027,0.103,0.075,0.064,0.083,0.258,41718,0.419,15.8,0.261,0.522,0.031,2861,0,1.19,6.704,21.4,-2.673,0.022,0.013,7901,-0.107,0.694,0.155,1.531,0.004,0.027,0.023,0.11,0.165,0.335,0.001,0.193,0.117,0.544,-0.007
38802,The Dalles,OR,"65,297",0,0.002,0.067,0.017,0.017,0.016,0.53,32881,0.35,6.761,0.283,0.598,0.026,2931,0,1.19,6.744,18.6,-1.692,-0.001,0.015,1440,-0.147,0.621,0.106,0.955,0.005,0.015,0.017,0.091,0.561,0.382,0.001,0.187,0.111,0.611,0
38901,Eugene,OR,"936,387",1,0.007,0.094,0.058,0.055,0.062,0.381,34589,0.399,10.922,0.289,0.572,0.027,2431,0,1.19,6.184,21.1,-3.381,0.015,0.014,5190,0.07,0.639,0.152,1.144,0.004,0.025,0.022,0.077,0.372,0.291,0.001,0.205,0.111,0.545,-0.008
38902,Newport,OR,"68,741",0,0.002,0.043,0.011,0.01,0.011,0.49,36264,0.411,7.284,0.338,0.547,0.035,3803,0,1.19,6.472,19.4,-4.794,0.022,0.015,1296,-0.123,0.586,0.086,0.561,0.005,0.035,0.028,0.041,-0.573,0.237,0.001,0.242,0.141,0.566,-0.002
39000,Yakima,WA,"255,943",1,0.008,0.235,0.069,0.066,0.069,0.427,30403,0.442,10.008,0.342,0.533,0.015,2138,0,0,7.026,20.9,-10.483,,0.012,2524,0.104,0.622,0.107,0.799,0.004,0.019,0.023,0.154,-0.709,0.377,0.002,0.213,0.094,0.558,-0.007
39100,Kennewick,WA,"332,609",1,0.011,0.158,0.064,0.056,0.074,0.453,34510,0.362,8.535,0.276,0.554,0.018,5442,0,0,6.699,19.6,-4.494,0.007,0.015,7160,-0.043,0.643,0.094,0.812,0.004,0.02,0.018,0.112,-0.22,0.422,0.001,0.19,0.102,0.589,-0.007
39201,La Grande,OR,"41,271",0,0.004,0.016,0.022,0.02,0.021,0.645,31277,0.361,7.199,0.289,0.612,0.025,2002,0,1.19,6.108,18.4,4.022,-0.015,0.024,2316,-0.049,0.59,0.118,1.051,0.004,0.015,0.019,0.023,0.533,0.335,0.001,0.201,0.113,0.594,0.008
